#,id,utc-time,exp(sec),n_filt0,n_filt1,n_filt2,n_filt3,n_filt4,s_filt0,s_filt1,s_filt2,s_filt3,s_filt4,n_raw0,n_raw1,n_raw2,n_raw3,n_raw4,s_raw0,s_raw1,s_raw2,s_raw3,s_raw4outputForm,fullFrame
7365,2023-04-17 10:10:00.563,3.800,6632,349,1308,871,4104,1461867,59377,343579,182979,875932,28484,1793,7140,5534,14017,2210567,81026,523105,297266,1309170,160,0
7366,2023-04-17 10:12:00.562,45.000,761,107,193,155,306,561338,54898,149145,174479,182816,20681,3325,5379,5305,6672,986896,126484,287678,285790,286944,160,0
7367,2023-04-17 10:14:00.561,40.300,6516,646,1350,1394,3126,4135095,222845,657788,742418,2512044,49078,7635,11515,13953,15975,7923705,587598,1882534,1406981,4046592,160,0
7368,2023-04-17 10:16:00.561,8.600,6502,611,1442,1321,3128,6031334,240909,952581,799959,4037885,47456,6690,11445,13248,16073,9275316,380049,1463850,1228962,6202455,160,0
7369,2023-04-17 10:18:00.561,9.300,6576,423,1406,896,3851,1872623,65479,351138,220663,1235343,35434,3295,8612,8371,15156,3064634,110981,532936,461139,1959578,160,0
7370,2023-04-17 10:20:00.559,45.000,2499,173,568,325,1433,861304,95007,205086,202570,358641,25792,3700,5969,5370,10753,1358167,155384,291053,370193,541537,160,0
7371,2023-04-17 10:22:00.558,45.000,386,87,78,102,119,656256,113469,110346,301786,130655,19270,3460,3515,5266,7029,1236055,163637,156545,349320,566553,160,0
7372,2023-04-17 10:24:00.559,45.000,317,59,65,100,93,584144,77336,138887,269943,97978,16999,3103,4176,4922,4798,957077,131221,197569,365608,262679,160,0
7373,2023-04-17 10:26:00.556,45.000,360,80,77,95,108,570481,121622,108390,229023,111446,15374,3147,3301,4811,4115,790888,145975,148644,301778,194491,160,0
7374,2023-04-17 10:28:00.556,45.000,949,105,180,179,485,780181,124226,81940,307781,266234,21141,3750,3874,6272,7245,1103265,220351,130644,398192,354078,160,0
7375,2023-04-17 10:30:00.555,40.400,6503,393,1248,966,3896,1861725,147371,322912,440246,951196,39409,5454,8898,9963,15094,3181525,305957,545454,743230,1586884,160,0
7376,2023-04-17 10:32:00.553,45.000,528,82,112,147,187,660295,82276,166324,249942,161753,20355,3039,4386,7098,5832,1119242,134629,223426,418770,342417,160,0
7377,2023-04-17 10:34:00.553,45.000,276,49,57,95,75,331700,49118,88242,133591,60749,13650,2330,2858,5334,3128,650969,84132,124941,268514,173382,160,0
7378,2023-04-17 10:36:00.552,45.000,195,31,42,71,51,192935,18818,33292,112635,28190,6927,922,1439,3332,1234,321162,28858,46281,191379,54644,160,0
7379,2023-04-17 10:38:00.552,45.000,170,21,37,58,54,269010,105510,21449,100782,41269,8125,2156,1487,2697,1785,405868,125647,48617,160996,70608,160,0
7380,2023-04-17 10:40:00.551,45.000,101,30,18,23,30,50823,13950,10580,12577,13716,2809,971,543,511,784,115529,25744,15144,40853,33788,160,0
7381,2023-04-17 10:42:00.551,45.000,95,19,20,26,30,39357,3365,9800,13217,12975,3361,116,1108,937,1200,166167,3447,27624,92069,43027,160,0
7382,2023-04-17 10:44:00.549,45.000,89,24,18,24,23,56467,14345,13490,22365,6267,3426,791,918,1324,393,164276,22412,24547,100493,16824,160,0
7383,2023-04-17 10:46:00.549,45.000,126,25,25,42,34,100131,30409,30009,21553,18160,3076,675,731,887,783,211517,29658,36319,107885,37655,160,0
7384,2023-04-17 10:48:00.548,45.000,126,25,22,36,43,156448,19679,19199,56402,61168,4192,696,940,1699,857,273743,22543,29864,92328,129008,160,0
7385,2023-04-17 10:50:00.548,45.000,124,19,25,35,45,54500,4255,14012,20755,15478,3147,358,744,991,1054,180557,8291,20963,95461,55842,160,0
7386,2023-04-17 10:52:00.546,45.000,109,11,24,31,43,82209,5694,10454,47530,18531,2684,321,631,1079,653,235234,8074,18360,118538,90262,160,0
7387,2023-04-17 10:54:00.546,45.000,169,33,52,34,50,144063,19381,42828,54694,27160,8044,2329,3696,680,1339,557154,84517,324199,65407,83031,160,0
7388,2023-04-17 10:56:00.545,45.000,159,37,31,31,60,122995,22398,25724,35271,39602,6399,1493,1110,795,3001,435296,107682,42588,118531,166495,160,0
7389,2023-04-17 10:58:00.545,45.000,232,52,73,45,62,217454,33775,46554,44660,92465,9402,2295,2540,1795,2772,500609,65421,80186,153037,201965,160,0
7390,2023-04-17 11:00:00.542,45.000,336,76,70,88,102,658965,118117,145622,99827,295399,15509,3159,3815,3604,4931,803899,136310,210492,143303,313794,160,0
7391,2023-04-17 11:02:00.543,45.000,5160,369,1039,677,3075,2131501,171378,384990,341191,1233942,38669,5299,9139,9209,15022,3395634,258561,591411,460676,2084986,160,0
7392,2023-04-17 11:04:00.542,45.000,4493,249,907,587,2750,997168,89703,196763,179473,531229,29578,3476,6846,6342,12914,1585831,125922,297931,310711,851267,160,0
7393,2023-04-17 11:06:00.542,45.000,315,72,57,106,80,609047,151552,132943,190414,134138,17599,4081,3753,6231,3534,922281,230500,163546,346482,181753,160,0
7394,2023-04-17 11:08:00.539,45.000,321,51,89,99,82,571109,85400,235878,126598,123233,14767,3049,4622,3440,3656,867008,126283,311178,175278,254269,160,0
7395,2023-04-17 11:10:00.540,45.000,331,57,75,91,108,617537,51713,144408,243499,177917,17153,2561,4043,5764,4785,1194115,112932,207332,558065,315786,160,0
7396,2023-04-17 11:12:00.539,45.000,378,61,99,85,133,457681,79936,71690,99657,206398,16378,2842,3823,3585,6128,749227,121128,135902,176655,315542,160,0
7397,2023-04-17 11:14:00.539,45.000,649,94,129,145,281,681534,113972,119290,236194,212078,18243,3602,4440,5348,4853,936220,159330,176708,301508,298674,160,0
7398,2023-04-17 11:16:00.536,45.000,560,80,114,116,250,524237,59493,98306,249515,116923,15471,2564,3527,4924,4456,748081,89716,143899,238115,276351,160,0
7399,2023-04-17 11:18:00.536,45.000,297,66,77,78,76,359354,57584,57156,173534,71080,12134,2664,2520,4060,2890,694140,88982,90710,348310,166138,160,0
7400,2023-04-17 11:20:00.536,45.000,192,49,41,47,55,279783,94244,55441,85380,44718,8501,1630,2212,2588,2071,546076,121927,76204,213943,134002,160,0
7401,2023-04-17 11:22:00.536,45.000,151,28,34,51,38,145830,33508,22334,64680,25308,5053,1250,1120,1040,1643,281297,55364,33072,111968,80893,160,0
7402,2023-04-17 11:24:00.535,45.000,126,23,23,33,47,195268,8744,36633,109594,40297,3734,397,877,685,1775,260927,12725,46252,133202,68748,160,0
7403,2023-04-17 11:26:00.535,45.000,73,19,18,24,12,172452,4543,11621,107125,49163,2540,418,477,1118,527,286246,13660,16182,192467,63937,160,0
7404,2023-04-17 11:28:00.533,45.000,127,28,26,42,31,94654,12221,14528,44450,23455,6235,979,1735,2059,1462,310542,33070,63686,150089,63697,160,0
7405,2023-04-17 11:30:00.533,45.000,102,17,23,19,43,89005,7465,3685,61531,16324,2309,316,313,840,840,163460,10977,9810,99633,43040,160,0
7406,2023-04-17 11:32:00.532,45.000,128,26,23,45,34,178741,11866,58571,77130,31174,5367,713,1691,2134,829,387382,24780,74870,240465,47267,160,0
7407,2023-04-17 11:34:00.532,45.000,158,27,36,46,49,247114,24796,43090,101364,77864,5461,784,1512,1699,1466,418868,35165,60548,230340,92815,160,0
7408,2023-04-17 11:36:00.529,45.000,2372,322,511,531,1008,6521246,1052409,1496361,1992911,1979565,52334,9382,11498,15663,15791,9409317,1648381,2053959,2786213,2920764,160,0
7409,2023-04-17 11:38:00.530,19.600,6524,712,1359,1331,3122,19463768,3287960,4308266,5877310,5990232,53688,9621,11820,16122,16125,26464178,4654783,5672034,7676997,8460364,160,0
7410,2023-04-17 11:40:00.529,5.500,6507,602,1327,1176,3402,18417666,2957000,4487638,5517376,5455652,53671,9619,11823,16110,16119,26381109,4379858,6259488,7338379,8403384,160,0
7411,2023-04-17 11:42:00.529,2.800,6636,476,1449,1167,3544,10556084,1803362,2372492,2708434,3671796,53405,9544,11799,15953,16109,17792127,2706080,4179712,4359462,6546873,160,0
7412,2023-04-17 11:44:00.528,2.800,6640,376,1351,975,3938,3457986,387752,773781,921736,1374717,42477,6080,9763,11185,15449,4631740,509310,943160,1118365,2060905,160,0
7413,2023-04-17 11:46:00.526,2.000,6534,359,1405,962,3808,1455550,62500,291053,261932,840065,29749,2060,7058,6153,14478,2202544,84246,391105,435137,1292056,160,0
7414,2023-04-17 11:48:00.526,45.000,5755,331,1051,705,3668,827961,132300,151020,156651,387990,27059,3940,5451,5350,12318,1327714,185332,213836,259321,669225,160,0
7415,2023-04-17 11:50:00.526,45.000,2709,281,688,431,1309,1725187,119070,421813,260741,923563,36806,4807,9122,8255,14622,2768454,189740,625827,554816,1398071,160,0
7416,2023-04-17 11:52:00.525,10.400,6526,506,1544,1135,3341,4756421,184309,978732,542119,3051261,45419,5905,10987,12518,16009,7389275,292692,1485207,870650,4740726,160,0
7417,2023-04-17 11:54:00.523,7.700,6500,322,1458,821,3899,1376833,51265,299401,170364,855803,30820,2402,7837,5845,14736,2135825,77232,441882,226329,1390382,160,0
7418,2023-04-17 11:56:00.523,45.000,356,58,66,122,110,472806,79296,64172,193120,136218,14452,2502,2780,4917,4253,744258,108251,106467,316614,212926,160,0
7419,2023-04-17 11:58:00.520,45.000,314,68,76,87,83,631409,179818,89284,243003,119304,15607,3673,3703,4396,3835,912182,200026,212486,283452,216218,160,0
7420,2023-04-17 12:00:00.520,45.000,301,65,70,76,90,726421,115906,122797,214823,272895,15789,2632,3611,5286,4260,1145720,142674,163744,499979,339323,160,0
7421,2023-04-17 12:02:00.519,45.000,374,52,86,125,111,746983,81413,159403,229939,276228,19032,2612,3443,5106,7871,981277,122575,154220,263628,440854,160,0
7422,2023-04-17 12:04:00.519,45.000,360,67,81,112,100,721096,61287,130623,335310,193876,19425,3114,3960,7067,5284,1183123,132763,177415,567698,305247,160,0
7423,2023-04-17 12:06:00.517,27.100,6508,310,1183,854,4161,1309309,57224,202907,283955,765223,31155,2822,6876,6919,14538,2163060,91576,303992,489951,1277541,160,0
7424,2023-04-17 12:08:00.516,45.000,701,102,158,141,300,691962,101362,117261,146702,326637,21437,3255,4730,5468,7984,1084332,143437,201246,281293,458356,160,0
7425,2023-04-17 12:10:00.516,45.000,392,76,105,102,109,506136,39053,176951,113094,177038,18819,3775,5997,4247,4800,920111,132082,351687,179287,257055,160,0
7426,2023-04-17 12:12:00.515,45.000,203,54,43,58,48,181223,44431,18404,80962,37426,8439,1776,1472,2792,2399,360909,64635,48007,167744,80523,160,0
7427,2023-04-17 12:14:00.515,45.000,201,43,51,47,60,148552,37415,45718,43725,21694,6089,1485,2012,1527,1065,299810,51209,70550,132210,45841,160,0
7428,2023-04-17 12:16:00.513,45.000,113,18,28,36,31,85962,7290,11943,57721,9008,3348,562,844,1273,669,195732,15694,24105,124415,31518,160,0
7429,2023-04-17 12:18:00.513,45.000,102,24,15,28,35,39764,13879,2843,12598,10444,1944,644,233,638,429,104829,18837,5997,45348,34647,160,0
7430,2023-04-17 12:20:00.512,45.000,110,19,20,34,37,91868,16687,7065,57731,10385,2359,419,299,1066,575,97553,13967,8608,45542,29436,160,0
7431,2023-04-17 12:22:00.510,45.000,125,24,34,22,45,104756,6045,29305,50167,19239,3971,349,1193,699,1730,173537,10711,42554,63773,56499,160,0
7432,2023-04-17 12:24:00.509,45.000,108,21,30,24,33,78803,2700,47867,19447,8789,2877,203,1581,424,669,169203,5540,65140,67377,31146,160,0
7433,2023-04-17 12:26:00.509,45.000,124,19,32,31,42,188511,5669,46891,110198,25753,6171,678,2323,1616,1554,289642,16353,71470,147362,54457,160,0
7434,2023-04-17 12:28:00.509,45.000,121,21,21,31,48,132329,32464,9330,49530,41005,3923,816,488,1009,1610,195612,42989,14337,70936,67350,160,0
7435,2023-04-17 12:30:00.507,45.000,171,30,47,51,43,132923,17574,12707,76301,26341,7915,1087,1814,2045,2969,271720,27036,42275,111199,91210,160,0
7436,2023-04-17 12:32:00.507,45.000,202,52,47,52,51,294321,41659,26309,128581,97772,8787,1845,2171,2039,2732,494309,58394,62147,144911,228857,160,0
7437,2023-04-17 12:34:00.506,45.000,327,57,69,86,115,350106,41428,76857,184388,47433,11474,2052,2655,3818,2949,802101,68207,105657,487391,140846,160,0
7438,2023-04-17 12:36:00.506,45.000,607,96,130,156,225,616114,144020,106867,213901,151326,19120,3488,3456,6378,5798,969392,202060,155786,304328,307218,160,0
